Project_ID,Project_Name,Portfolio,Program,Department,Business_Unit,Project_Manager,Sponsor,Client,Country,Region,Project_Type,Project_Size,Methodology,Priority,Status,Health,Start_Date,End_Date,Go_Live_Date,Duration_Days,Budget_INR,Actual_Spend,Completion_%,Phase,Risk_Level,Resource_Count,Vendor,Technology,Strategic_Objective
PRJ012,Project 12,Digital,Program 1,Sales,Enterprise,M Patel,CFO,Client 6,USA,EMEA,Upgrade,Medium,Agile,High,Completed,Red,08-Jan-25,30-May-25,12-Jun-25,142,249400000,16454381,100,Execution,High,24,IBM,Dynamics 365,Compliance
PRJ013,Project 13,ERP,Program 5,Marketing,Enterprise,K Rao,CTO,Client 3,India,APAC,Upgrade,Medium,Waterfall,Medium,Delayed,Green,18-Mar-25,21-Sep-25,28-Sep-25,187,197700000,23692873,11,Execution,Medium,39,Capgemini,Azure,Growth
PRJ014,Project 14,AI,Program 4,HR,Corporate,V Mehta,CFO,Client 3,Germany,Americas,Migration,Medium,Waterfall,Medium,On Track,Green,30-Jan-25,21-Jan-26,17-Jan-26,356,141200000,105866778,71,Planning,High,15,Capgemini,Oracle,Efficiency
PRJ015,Project 15,Infrastructure,Program 1,Sales,Enterprise,A Sharma,CTO,Client 17,USA,EMEA,Migration,Small,Scrum,Medium,At Risk,Red,28-Jan-25,20-Sep-25,26-Sep-25,235,236600000,188958070,76,Initiation,High,35,Infosys,Salesforce,Compliance
PRJ016,Project 16,Infrastructure,Program 4,Finance,Enterprise,P Gupta,CFO,Client 14,Singapore,EMEA,Implementation,Medium,Agile,High,At Risk,Red,13-Sep-25,10-Dec-26,12-Dec-26,453,126500000,134477860.8,14,Planning,High,23,TCS,AWS,Efficiency
PRJ017,Project 17,ERP,Program 3,IT,Consumer,S Verma,CFO,Client 8,Australia,APAC,Implementation,Large,Waterfall,High,Delayed,Amber,22-Feb-25,13-Dec-25,14-Dec-25,294,236300000,221060307,100,Planning,Medium,29,Accenture,Dynamics 365,Growth
PRJ018,Project 18,Digital,Program 7,Sales,Enterprise,M Patel,COO,Client 16,USA,APAC,Implementation,Medium,Agile,Medium,Completed,Red,14-Jan-25,20-Jun-26,19-Jun-26,522,219700000,23786062,100,Testing,High,17,Capgemini,Dynamics 365,Efficiency
PRJ019,Project 19,AI,Program 8,Marketing,Enterprise,R Singh,COO,Client 3,India,Americas,Upgrade,Large,Hybrid,Low,Completed,Red,29-Jul-25,20-Jan-26,09-Feb-26,175,42200000,20879460,100,Testing,Low,14,Infosys,AWS,Growth
PRJ020,Project 20,Digital,Program 2,IT,Corporate,M Patel,COO,Client 10,Singapore,Americas,Migration,Large,Agile,High,Completed,Green,08-May-26,08-Sep-27,18-Sep-27,488,75900000,55713633,100,Execution,Low,8,TCS,Salesforce,Compliance
PRJ021,Project 21,AI,Program 1,Marketing,Consumer,K Rao,CIO,Client 8,USA,EMEA,Upgrade,Small,Scrum,High,At Risk,Amber,17-Oct-25,31-Mar-27,22-Mar-27,530,137600000,152975592.2,27,Initiation,High,26,Accenture,AWS,Compliance
PRJ022,Project 22,Digital,Program 7,Operations,Enterprise,M Patel,CFO,Client 5,Germany,APAC,Upgrade,Large,Agile,Medium,Completed,Red,28-Jun-25,20-Apr-26,18-Apr-26,296,150700000,105005187,100,Deployment,Medium,21,Infosys,Salesforce,Efficiency
PRJ023,Project 23,ERP,Program 9,Sales,Consumer,R Singh,CTO,Client 1,UK,EMEA,Migration,Medium,Waterfall,Low,At Risk,Amber,21-Jun-25,08-Feb-26,27-Feb-26,232,158000000,163446194.1,79,Deployment,High,8,IBM,Power BI,Growth
PRJ024,Project 24,ERP,Program 5,Marketing,Consumer,K Rao,CTO,Client 13,Germany,APAC,Migration,Medium,Scrum,Medium,At Risk,Green,18-Apr-25,05-Mar-26,21-Mar-26,321,15400000,5105075,31,Initiation,Low,27,TCS,Dynamics 365,Compliance
PRJ025,Project 25,Digital,Program 9,IT,Corporate,K Rao,CIO,Client 15,UK,APAC,Implementation,Small,Scrum,Medium,At Risk,Green,04-Dec-25,16-Apr-26,30-Apr-26,133,202300000,32381911,20,Deployment,High,23,Infosys,SAP,Efficiency
PRJ026,Project 26,AI,Program 8,Finance,Corporate,K Rao,COO,Client 6,Australia,Americas,Migration,Large,Agile,Low,At Risk,Red,12-May-25,16-May-26,10-May-26,369,96300000,108576580.7,56,Initiation,Low,17,Accenture,AWS,Growth
PRJ027,Project 27,ERP,Program 6,Sales,Corporate,R Singh,CIO,Client 1,USA,EMEA,Upgrade,Small,Agile,Low,Completed,Green,27-Apr-26,21-Sep-26,11-Sep-26,147,175600000,29467209,100,Planning,Medium,33,IBM,Power BI,Growth
PRJ028,Project 28,Infrastructure,Program 6,IT,Consumer,V Mehta,CIO,Client 16,UK,Americas,Upgrade,Large,Agile,Medium,Completed,Red,19-Apr-25,19-Dec-25,25-Dec-25,244,103700000,5944716,100,Closure,Medium,19,IBM,Dynamics 365,Compliance
PRJ029,Project 29,Digital,Program 4,Operations,Enterprise,R Singh,COO,Client 19,Australia,Americas,Implementation,Large,Waterfall,High,Completed,Green,19-Feb-25,02-Sep-25,15-Sep-25,195,130900000,28322187,100,Deployment,Low,33,Capgemini,Dynamics 365,Efficiency
PRJ030,Project 30,ERP,Program 2,IT,Corporate,A Sharma,CIO,Client 13,Australia,Americas,Migration,Small,Scrum,Low,On Track,Amber,03-May-25,26-Sep-26,29-Sep-26,511,155000000,38667739,23,Testing,High,5,Deloitte,SAP,Efficiency
PRJ031,Project 31,Digital,Program 9,IT,Enterprise,P Gupta,CFO,Client 7,Singapore,APAC,Migration,Large,Scrum,High,On Track,Green,07-Nov-25,05-Dec-26,18-Dec-26,393,166100000,139087180,97,Planning,Low,33,Accenture,Dynamics 365,Compliance
PRJ032,Project 32,ERP,Program 8,Marketing,Corporate,N Kumar,CTO,Client 7,USA,APAC,Implementation,Large,Waterfall,Medium,On Track,Amber,09-May-25,30-Oct-26,13-Nov-26,539,160800000,25758426,19,Planning,High,15,Infosys,AWS,Efficiency
PRJ033,Project 33,Digital,Program 5,IT,Enterprise,S Verma,CIO,Client 1,Singapore,EMEA,Implementation,Small,Waterfall,Medium,Completed,Amber,29-Dec-25,22-Apr-27,12-Apr-27,479,162300000,91460399,100,Execution,Medium,20,IBM,Dynamics 365,Efficiency
PRJ034,Project 34,Infrastructure,Program 2,Sales,Corporate,M Patel,COO,Client 9,Australia,Americas,Implementation,Medium,Agile,High,On Track,Red,02-Oct-25,25-Oct-26,06-Nov-26,388,202100000,77015707,42,Planning,High,20,Deloitte,Power BI,Efficiency
PRJ035,Project 35,ERP,Program 2,IT,Corporate,N Kumar,CIO,Client 5,Australia,APAC,Implementation,Medium,Scrum,Medium,At Risk,Green,29-Jun-25,20-Jul-26,12-Jul-26,386,180200000,57352666,34,Initiation,Medium,27,Accenture,Salesforce,Growth
PRJ036,Project 36,Digital,Program 5,Finance,Enterprise,K Rao,CIO,Client 10,Germany,Americas,Implementation,Medium,Scrum,Low,At Risk,Green,19-Mar-26,25-Apr-27,28-Apr-27,402,244900000,101999308,47,Closure,Medium,23,Accenture,Dynamics 365,Compliance
PRJ037,Project 37,Digital,Program 3,IT,Enterprise,P Gupta,CFO,Client 15,Germany,APAC,Migration,Large,Agile,High,At Risk,Amber,19-Feb-25,13-Nov-25,09-Nov-25,267,98500000,85668497,96,Testing,Medium,16,IBM,Dynamics 365,Compliance
PRJ038,Project 38,ERP,Program 8,Marketing,Consumer,V Mehta,CIO,Client 18,India,EMEA,Upgrade,Small,Scrum,High,On Track,Red,15-Sep-25,24-Jul-26,01-Aug-26,312,143700000,120433526,82,Deployment,High,25,Deloitte,SAP,Growth
PRJ039,Project 39,ERP,Program 9,Marketing,Enterprise,N Kumar,CTO,Client 19,Australia,APAC,Migration,Small,Waterfall,Low,Completed,Amber,08-Dec-25,30-Aug-26,26-Aug-26,265,210000000,88705245,100,Execution,Low,6,Capgemini,Dynamics 365,Growth
PRJ040,Project 40,ERP,Program 10,HR,Consumer,P Gupta,CFO,Client 18,Germany,APAC,Upgrade,Large,Scrum,Medium,At Risk,Amber,16-Apr-26,13-Apr-27,03-Apr-27,362,195100000,109086948,65,Execution,Low,29,Infosys,AWS,Efficiency
PRJ041,Project 41,Digital,Program 8,Operations,Corporate,P Gupta,COO,Client 12,Germany,Americas,Migration,Medium,Waterfall,Low,Delayed,Green,30-Dec-25,06-Jul-26,19-Jul-26,188,103400000,80812474,81,Execution,Low,19,Infosys,AWS,Compliance
PRJ042,Project 42,Infrastructure,Program 10,Marketing,Consumer,A Sharma,COO,Client 9,Australia,Americas,Upgrade,Large,Hybrid,Medium,Delayed,Red,28-Sep-25,13-Jan-27,29-Jan-27,472,176200000,186741279.1,13,Closure,High,40,Infosys,Azure,Compliance
PRJ043,Project 43,Infrastructure,Program 3,Sales,Consumer,V Mehta,CFO,Client 6,Australia,APAC,Upgrade,Small,Scrum,High,Delayed,Green,01-May-25,25-Apr-26,02-May-26,359,208200000,118435863,64,Execution,Medium,18,Deloitte,Power BI,Compliance
PRJ044,Project 44,AI,Program 7,Marketing,Enterprise,A Sharma,CIO,Client 16,USA,APAC,Implementation,Medium,Hybrid,High,Completed,Amber,02-Oct-25,19-Mar-26,04-Apr-26,168,64800000,15178916,100,Planning,Low,22,TCS,Salesforce,Growth
PRJ045,Project 45,Infrastructure,Program 4,Operations,Enterprise,P Gupta,COO,Client 1,Germany,APAC,Migration,Large,Hybrid,Medium,Completed,Green,24-Jan-26,10-May-27,06-May-27,471,249900000,154011813,100,Testing,High,16,Deloitte,Dynamics 365,Efficiency
PRJ046,Project 46,Digital,Program 5,HR,Consumer,K Rao,COO,Client 18,India,Americas,Implementation,Medium,Scrum,High,At Risk,Red,12-Apr-25,30-Sep-26,07-Oct-26,536,32900000,2676900,10,Execution,Medium,12,IBM,AWS,Efficiency
PRJ047,Project 47,Digital,Program 9,Marketing,Enterprise,V Mehta,COO,Client 18,Germany,EMEA,Implementation,Small,Agile,High,At Risk,Green,14-Mar-25,09-Nov-25,29-Nov-25,240,101200000,104638816,38,Deployment,Low,22,TCS,SAP,Efficiency
PRJ048,Project 48,AI,Program 3,Marketing,Enterprise,M Patel,CFO,Client 12,India,EMEA,Implementation,Medium,Hybrid,High,At Risk,Amber,01-Jun-25,26-Nov-25,28-Nov-25,178,64400000,29810917,44,Deployment,Low,31,Accenture,AWS,Efficiency
PRJ049,Project 49,AI,Program 2,Operations,Corporate,K Rao,CTO,Client 12,Singapore,EMEA,Migration,Medium,Scrum,Medium,At Risk,Red,23-Jul-25,19-Feb-26,16-Feb-26,211,115800000,42805274,42,Planning,Low,27,Deloitte,Oracle,Growth
PRJ050,Project 50,AI,Program 2,HR,Corporate,K Rao,CTO,Client 16,UK,APAC,Migration,Medium,Hybrid,Low,At Risk,Green,14-May-26,12-Sep-26,03-Sep-26,121,210900000,109332902,56,Deployment,High,14,IBM,Dynamics 365,Compliance
PRJ051,Project 51,Infrastructure,Program 1,Finance,Enterprise,R Singh,CTO,Client 20,USA,Americas,Upgrade,Small,Hybrid,Medium,At Risk,Green,19-May-25,12-Feb-26,13-Feb-26,269,166500000,184116248.3,77,Testing,Low,28,Deloitte,Salesforce,Growth
PRJ052,Project 52,ERP,Program 5,Marketing,Consumer,M Patel,CFO,Client 12,Australia,EMEA,Migration,Medium,Agile,Medium,Completed,Amber,14-Feb-25,01-Sep-25,12-Sep-25,199,225100000,21711913,100,Deployment,Low,22,IBM,Dynamics 365,Compliance
PRJ053,Project 53,Infrastructure,Program 10,Finance,Consumer,A Sharma,CTO,Client 3,Singapore,APAC,Upgrade,Small,Waterfall,Low,Completed,Amber,26-Feb-26,23-Aug-26,11-Sep-26,178,191900000,37619488,100,Execution,High,18,Accenture,Oracle,Compliance
PRJ054,Project 54,Digital,Program 1,Sales,Corporate,V Mehta,COO,Client 13,India,Americas,Migration,Small,Hybrid,Medium,Completed,Red,15-Apr-26,23-Apr-27,11-May-27,373,64100000,51313906,100,Initiation,Medium,23,Capgemini,Salesforce,Compliance
PRJ055,Project 55,Infrastructure,Program 9,IT,Consumer,M Patel,CIO,Client 2,Germany,EMEA,Upgrade,Medium,Hybrid,Medium,Delayed,Red,13-Jan-26,01-Dec-26,24-Nov-26,322,148800000,47098557,36,Execution,Low,11,Infosys,Salesforce,Compliance
PRJ056,Project 56,Digital,Program 9,Sales,Enterprise,V Mehta,CFO,Client 3,UK,APAC,Upgrade,Medium,Waterfall,High,At Risk,Amber,11-Aug-25,06-Aug-26,18-Aug-26,360,70800000,24452639,35,Execution,Medium,6,Deloitte,Power BI,Compliance
PRJ057,Project 57,AI,Program 1,Operations,Consumer,V Mehta,CTO,Client 1,USA,Americas,Upgrade,Large,Hybrid,Low,On Track,Green,29-Mar-25,09-Jan-26,10-Jan-26,286,23700000,4193629,20,Testing,Medium,15,TCS,Azure,Efficiency
PRJ058,Project 58,AI,Program 7,Sales,Corporate,V Mehta,COO,Client 16,India,APAC,Implementation,Large,Hybrid,High,Completed,Red,14-May-25,13-Oct-25,26-Oct-25,152,93800000,78660771,100,Testing,Low,16,Accenture,Power BI,Efficiency
PRJ059,Project 59,Digital,Program 5,IT,Enterprise,P Gupta,COO,Client 8,USA,Americas,Implementation,Medium,Agile,High,On Track,Red,17-Dec-25,06-Feb-27,31-Jan-27,416,215000000,120351124,66,Closure,Medium,25,Infosys,SAP,Efficiency
PRJ060,Project 60,ERP,Program 6,Operations,Corporate,S Verma,CIO,Client 13,Germany,APAC,Migration,Small,Hybrid,Low,On Track,Green,30-Mar-25,03-Aug-25,25-Jul-25,126,169100000,98286838,58,Closure,Medium,12,Deloitte,Power BI,Growth
PRJ061,Project 61,Infrastructure,Program 9,Finance,Enterprise,R Singh,CFO,Client 4,India,EMEA,Migration,Large,Hybrid,Low,At Risk,Red,17-Mar-25,31-Jul-26,27-Jul-26,501,213000000,125091805,59,Planning,Low,22,Deloitte,Azure,Efficiency
PRJ062,Project 62,Infrastructure,Program 6,Sales,Enterprise,S Verma,CTO,Client 8,Australia,Americas,Migration,Small,Scrum,Medium,At Risk,Green,09-May-26,01-Nov-26,13-Nov-26,176,134300000,58566303,43,Testing,High,21,Deloitte,Salesforce,Growth
PRJ063,Project 63,Infrastructure,Program 3,Finance,Corporate,V Mehta,COO,Client 12,Germany,Americas,Migration,Small,Hybrid,High,On Track,Red,17-Jul-25,06-Jul-26,06-Jul-26,354,165300000,53605961,34,Execution,Medium,12,IBM,Dynamics 365,Growth
PRJ064,Project 64,Digital,Program 7,HR,Consumer,P Gupta,CTO,Client 12,Singapore,APAC,Upgrade,Small,Agile,Medium,Completed,Red,13-Sep-25,11-Jul-26,13-Jul-26,301,188500000,19230442,100,Initiation,High,16,Deloitte,AWS,Growth
PRJ065,Project 65,Infrastructure,Program 3,Sales,Enterprise,V Mehta,CFO,Client 17,Singapore,APAC,Migration,Large,Hybrid,Medium,Delayed,Red,20-May-25,11-Oct-26,29-Oct-26,509,160600000,126425950,81,Deployment,Low,31,TCS,Azure,Compliance
PRJ066,Project 66,Digital,Program 5,HR,Corporate,S Verma,CFO,Client 10,India,EMEA,Migration,Small,Hybrid,Medium,Delayed,Red,06-Jul-25,28-Feb-26,20-Mar-26,237,150200000,105991105,83,Deployment,High,7,IBM,Oracle,Compliance
PRJ067,Project 67,Infrastructure,Program 8,IT,Enterprise,K Rao,CIO,Client 10,Singapore,APAC,Implementation,Medium,Scrum,Medium,Completed,Red,23-Mar-25,05-Sep-26,24-Sep-26,531,15600000,3880696,100,Closure,Medium,19,Infosys,Power BI,Growth
PRJ068,Project 68,AI,Program 7,IT,Consumer,K Rao,CFO,Client 17,Australia,APAC,Migration,Small,Hybrid,High,Completed,Green,25-Apr-26,06-Oct-26,29-Sep-26,164,203400000,111997103,100,Closure,Medium,18,IBM,Dynamics 365,Efficiency
PRJ069,Project 69,ERP,Program 4,Operations,Corporate,S Verma,CTO,Client 15,India,EMEA,Migration,Large,Agile,Low,Delayed,Amber,25-Aug-25,11-Oct-26,02-Oct-26,412,5500000,3307523,58,Initiation,High,26,Deloitte,Dynamics 365,Efficiency
PRJ070,Project 70,ERP,Program 2,Marketing,Consumer,N Kumar,CIO,Client 1,Germany,APAC,Implementation,Small,Waterfall,Medium,On Track,Red,16-Mar-25,22-Dec-25,15-Dec-25,281,153100000,84910925,65,Planning,Medium,18,TCS,Oracle,Compliance
PRJ071,Project 71,Digital,Program 7,Finance,Enterprise,V Mehta,COO,Client 14,Singapore,EMEA,Upgrade,Medium,Scrum,High,Delayed,Red,25-Aug-25,01-Jan-27,04-Jan-27,494,190800000,83642253,41,Closure,Medium,25,Capgemini,AWS,Compliance
PRJ072,Project 72,AI,Program 7,Operations,Consumer,S Verma,CFO,Client 19,Australia,APAC,Upgrade,Small,Scrum,High,On Track,Amber,27-Aug-25,17-Jan-26,31-Jan-26,143,208900000,67547900,38,Deployment,Low,32,Deloitte,Dynamics 365,Compliance
PRJ073,Project 73,Infrastructure,Program 9,Sales,Corporate,R Singh,CFO,Client 1,USA,Americas,Implementation,Large,Agile,High,Delayed,Red,21-Jan-26,15-Nov-26,14-Nov-26,298,41400000,17599143,47,Closure,Medium,20,Capgemini,AWS,Growth
PRJ074,Project 74,Digital,Program 9,IT,Corporate,K Rao,CTO,Client 9,Germany,Americas,Upgrade,Medium,Agile,High,Delayed,Amber,14-Oct-25,14-Feb-27,08-Feb-27,488,104000000,17156646,17,Planning,Low,32,Capgemini,Azure,Growth
PRJ075,Project 75,ERP,Program 1,Sales,Enterprise,M Patel,CFO,Client 16,Singapore,EMEA,Upgrade,Large,Waterfall,Low,Completed,Red,26-Oct-25,13-Mar-27,24-Mar-27,503,202600000,133198280,100,Execution,Low,7,IBM,Oracle,Efficiency
PRJ076,Project 76,ERP,Program 9,Marketing,Consumer,S Verma,CTO,Client 12,Germany,Americas,Upgrade,Small,Agile,High,On Track,Green,30-Nov-25,22-Jul-26,01-Aug-26,234,178100000,24996296,16,Planning,Low,33,Capgemini,Dynamics 365,Compliance
PRJ077,Project 77,Digital,Program 4,IT,Consumer,V Mehta,CIO,Client 2,Germany,APAC,Upgrade,Small,Agile,Low,At Risk,Green,11-Dec-25,01-Nov-26,13-Nov-26,325,207300000,182352229,80,Deployment,Low,6,Deloitte,Power BI,Growth
PRJ078,Project 78,ERP,Program 6,Sales,Consumer,M Patel,CTO,Client 20,Germany,APAC,Implementation,Small,Agile,Low,At Risk,Green,16-Aug-25,29-Jan-26,21-Jan-26,166,141800000,158587681.1,12,Execution,Medium,33,Accenture,Salesforce,Efficiency
PRJ079,Project 79,Digital,Program 2,Finance,Consumer,M Patel,CFO,Client 8,Germany,APAC,Implementation,Small,Agile,High,Completed,Red,30-Nov-25,22-Jun-26,19-Jun-26,204,145400000,29098215,100,Closure,Low,39,Accenture,Power BI,Compliance
PRJ080,Project 80,ERP,Program 10,Marketing,Consumer,S Verma,CFO,Client 8,Australia,APAC,Migration,Medium,Waterfall,High,Delayed,Amber,05-Feb-26,06-Jan-27,01-Jan-27,335,70100000,44271897,61,Execution,Medium,29,IBM,Azure,Efficiency
PRJ081,Project 81,Digital,Program 7,IT,Enterprise,R Singh,CTO,Client 19,USA,EMEA,Migration,Medium,Scrum,High,Delayed,Red,17-Jan-26,26-Oct-26,05-Nov-26,282,103100000,48657645,56,Testing,Low,21,Deloitte,Oracle,Efficiency
PRJ082,Project 82,Digital,Program 3,Sales,Consumer,A Sharma,CIO,Client 3,India,Americas,Migration,Large,Scrum,High,At Risk,Amber,07-Jan-25,13-Jun-25,18-Jun-25,157,106600000,114321685,99,Planning,Medium,30,Infosys,Salesforce,Efficiency
PRJ083,Project 83,AI,Program 5,HR,Enterprise,M Patel,CFO,Client 8,USA,EMEA,Migration,Medium,Waterfall,High,Completed,Red,07-May-26,13-Jul-27,16-Jul-27,432,3500000,1621846,100,Closure,High,5,Accenture,Dynamics 365,Growth
PRJ084,Project 84,Infrastructure,Program 3,Operations,Corporate,V Mehta,CIO,Client 10,India,Americas,Migration,Large,Waterfall,Medium,Delayed,Green,16-Mar-25,03-Oct-25,08-Oct-25,201,235500000,30930630,14,Initiation,Low,7,IBM,SAP,Efficiency
PRJ085,Project 85,Infrastructure,Program 4,Marketing,Consumer,N Kumar,CIO,Client 4,USA,APAC,Migration,Small,Agile,Low,Completed,Amber,17-Jan-26,12-Aug-26,11-Aug-26,207,177300000,35605365,100,Execution,Low,26,Deloitte,Oracle,Growth
PRJ086,Project 86,Digital,Program 2,Operations,Enterprise,N Kumar,CIO,Client 13,India,EMEA,Implementation,Large,Waterfall,Medium,On Track,Green,30-Jun-25,08-Dec-25,09-Dec-25,161,40100000,27061729,64,Testing,Medium,10,Capgemini,Oracle,Compliance
PRJ087,Project 87,ERP,Program 10,HR,Corporate,P Gupta,CIO,Client 12,Singapore,EMEA,Migration,Small,Scrum,Low,Completed,Red,04-Sep-25,19-Sep-26,08-Oct-26,380,184400000,35722966,100,Deployment,Low,20,Infosys,Salesforce,Efficiency
PRJ088,Project 88,ERP,Program 4,Finance,Enterprise,V Mehta,CTO,Client 15,Australia,EMEA,Upgrade,Small,Waterfall,Low,Delayed,Amber,02-Sep-25,14-Jan-26,30-Jan-26,134,187900000,103687441,62,Planning,High,38,Infosys,Azure,Efficiency
PRJ089,Project 89,AI,Program 9,Operations,Corporate,R Singh,CTO,Client 13,USA,Americas,Upgrade,Medium,Hybrid,Medium,Delayed,Amber,15-Sep-25,28-Apr-26,03-May-26,225,224700000,167300787,89,Testing,Low,30,Infosys,AWS,Growth
PRJ090,Project 90,AI,Program 6,IT,Consumer,R Singh,CTO,Client 19,USA,APAC,Migration,Medium,Agile,Medium,On Track,Red,10-Dec-25,02-Feb-27,16-Feb-27,419,8500000,4617392,66,Closure,Low,32,Deloitte,Oracle,Compliance
PRJ091,Project 91,AI,Program 5,Operations,Enterprise,A Sharma,COO,Client 3,Australia,Americas,Upgrade,Medium,Waterfall,Medium,At Risk,Red,18-Feb-26,22-Apr-27,27-Apr-27,428,246300000,36700992,15,Initiation,Low,22,Accenture,Salesforce,Efficiency
PRJ092,Project 92,Digital,Program 10,HR,Enterprise,S Verma,CTO,Client 17,Singapore,EMEA,Upgrade,Large,Hybrid,Medium,At Risk,Amber,10-Apr-26,14-Mar-27,10-Mar-27,338,17400000,7416529,39,Deployment,Low,39,IBM,Salesforce,Growth
PRJ093,Project 93,Digital,Program 7,Operations,Corporate,M Patel,COO,Client 11,Australia,APAC,Implementation,Medium,Scrum,Low,At Risk,Amber,22-Feb-25,21-Aug-25,09-Sep-25,180,145000000,117681483,85,Planning,High,33,Infosys,Oracle,Efficiency
PRJ094,Project 94,Digital,Program 4,Marketing,Enterprise,V Mehta,CIO,Client 3,Singapore,EMEA,Upgrade,Medium,Waterfall,High,Delayed,Red,01-Sep-25,20-May-26,19-May-26,261,58100000,43278171,89,Initiation,Low,26,Capgemini,Oracle,Efficiency
PRJ095,Project 95,AI,Program 2,IT,Enterprise,P Gupta,COO,Client 13,Singapore,Americas,Upgrade,Small,Scrum,High,Delayed,Green,02-Apr-26,19-Sep-26,10-Sep-26,170,113900000,29390282,24,Deployment,High,31,Deloitte,SAP,Growth
PRJ096,Project 96,AI,Program 10,Sales,Corporate,R Singh,COO,Client 6,USA,Americas,Implementation,Medium,Scrum,High,At Risk,Amber,27-Mar-25,25-Feb-26,24-Feb-26,335,20600000,15769390,79,Execution,High,29,Infosys,Azure,Efficiency
PRJ097,Project 97,ERP,Program 5,Finance,Consumer,R Singh,COO,Client 3,India,Americas,Implementation,Small,Hybrid,Low,Delayed,Amber,16-Sep-25,29-Oct-26,26-Oct-26,408,112300000,18142838,20,Execution,Medium,36,Infosys,Dynamics 365,Growth
PRJ098,Project 98,Digital,Program 9,Marketing,Enterprise,K Rao,CTO,Client 18,India,Americas,Migration,Large,Agile,High,At Risk,Red,13-Apr-26,23-May-27,08-Jun-27,405,171200000,71984279,51,Closure,Medium,26,IBM,SAP,Compliance
PRJ099,Project 99,ERP,Program 8,Marketing,Enterprise,A Sharma,CIO,Client 6,UK,APAC,Upgrade,Medium,Hybrid,Low,At Risk,Red,20-Aug-25,23-Nov-26,21-Nov-26,460,214100000,75802431,42,Planning,High,18,Capgemini,Salesforce,Efficiency
PRJ100,Project 100,Digital,Program 3,Operations,Corporate,N Kumar,CIO,Client 18,India,Americas,Upgrade,Small,Hybrid,Medium,At Risk,Red,15-Jul-25,15-Nov-25,04-Dec-25,123,214600000,161512131,91,Planning,Low,37,IBM,AWS,Compliance
